VEH_ID,DEPOT_ID,DEPOT_NM,MODEL_NUM,SPN_513,SPN_190,SPN_91,SPN_92,SPN_524,SPN_523,SPN_1821,SPN_2806,SPN_1087,SPN_1088,SPN_917,SPN_247,SPN_964,SPN_250,SPN_237,SPN_110,SPN_84,SPN_597,SPN_595,SPN_183,SPN_184,SPN_171,SPN_96
VAK962,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,750.2148999574287,14.2504895700298,255.0,1.4941677309493402,1.4879097488292892,,,2040.0,2040.0,280986.18173137505,70277.90481055768,,111951.65798212006,,73.16100468284377,10.483908045977012,,,1628.3048573861217,128.0,1711.3907194550873,84.2070668369519
VK2906,M002,KAJANG,SCANIA K250 MRT,20.170278485977644,815.5680525593253,14.453324181212002,24.728770347126886,1.4459697979996078,1.4422435771719946,1.0,,1096.7009217493626,1096.6362031770936,255285.8520847225,14469.762826044323,,122896.10146597373,,82.58467346538536,11.572857423024123,,,1831.381677779957,28.625137281819967,720.2696852323985,82.05770739360659
VAK985,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,829.7072099858485,15.90928553285678,255.0,1.7015131173119489,1.6966871076599297,1.0,,2040.0,2040.0,264566.6726154795,60954.702423890565,,109447.64732029464,,77.52520047897238,13.231140462280925,,,1751.9613520084183,128.0,1662.268768823252,80.09927791284154
VH4053,M002,KAJANG,SCANIA K250 MRT,20.31468949044586,991.5163880042463,14.841096072186836,24.84574044585987,1.4236995753715498,1.4190552016985138,1.0,,1066.997346072187,1067.465498938429,308020.7290067675,17820.530659501062,,148053.84272160297,,82.07132430997876,11.39032643312102,,,1483.9657576963905,32.91514729299363,702.42429007431,77.41255307855626
VH4062,M002,KAJANG,SCANIA K250 MRT,21.2638111462643,756.6409507584976,15.36233471241989,26.307860793380385,1.5852599983775453,1.5819339660906953,1.0,,1074.4817068224224,1074.6621237932993,267639.00853614014,14539.014103188123,,125931.0385130202,,83.10996187231281,12.905492009410239,,,1839.9949014358724,27.22377301857711,757.4814391173845,70.53918228279387
VH2485,M002,KAJANG,SCANIA K250 MRT,21.089479680972275,802.2671477402203,13.03759969616407,26.333991644511965,1.5660463349791114,1.5629320167109761,1.0,,1077.6063805545007,1077.730953285226,257057.21392707937,14463.323349791113,,118580.83361184961,,80.59612609191036,11.746904671477402,,,1864.8030459551844,22.161648309912646,510.7307937713635,73.67785795670338
VH4577,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,688.9872290568248,13.943995313415348,255.0,1.4864674868189807,1.47908611599297,1.0,,2040.0,2040.0,304039.25869127124,41104.872255418864,,120646.94932630345,,82.10779144698301,10.254715875805507,,,1748.2240773286467,128.0,1721.7613356766255,86.72759226713532
VH4920,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,835.0419514884234,15.107386990077178,255.0,1.6945424476295479,1.6869900771775084,1.0,,2040.0,2040.0,314233.46772822493,17263.578384785003,,123452.82359426681,,75.49101433296582,11.288864388092613,,,1607.1927342888644,128.0,1665.9431091510473,87.20154355016538
VH2557,M002,KAJANG,SCANIA K250 MRT,20.61715147958756,897.1516472462067,14.248218626875682,25.379160030178557,1.4675999664682706,1.466091038645318,1.0,,1053.1531561740296,1055.271690837455,257685.60613043845,14820.363936625032,,121392.42832592841,,81.61396596529465,11.401710118199347,,,1544.2075111073852,21.67242015256937,718.4057003939978,71.13831838377064
VAJ2850,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,677.118183781449,13.289007666558687,255.0,1.4003887269193391,1.3947197926789763,1.0,,2040.0,2040.0,293234.0078490444,28410.373269625314,,119594.50817946227,,71.151171579743,9.825504805096642,,,1913.1748623258825,128.0,1767.0,87.38235611705
