VEH_ID,DEPOT_ID,DEPOT_NM,MODEL_NUM,SPN_513,SPN_190,SPN_91,SPN_92,SPN_524,SPN_523,SPN_1821,SPN_2806,SPN_1087,SPN_1088,SPN_917,SPN_247,SPN_964,SPN_250,SPN_237,SPN_110,SPN_84,SPN_597,SPN_595,SPN_183,SPN_184,SPN_171,SPN_96
VH4642,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,756.5155815514431,16.846500479386386,255.0,1.7656759348034516,1.7601150527325025,,,2040.0,2040.0,262684.9336034136,55448.648489788095,,103898.82109300095,,78.51514860977949,12.779961649089167,,,1904.4036053312877,128.0,1742.914661041327,83.51466922339405
VG8597,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,679.2695519511803,12.278545045768428,255.0,1.2789465232053958,1.2750923398105027,1.0,,2040.0,2040.0,288120.2417287618,67451.81997751727,,113561.60213585997,,80.35900112413682,9.095631925485788,,,1935.090444837,128.0,1767.0,87.86494299020396
VH4652,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,728.2173831600637,15.313102931535076,255.0,1.6672286222721737,1.6613280884143486,,,2040.0,2040.0,294356.84238362836,15878.428416221785,,116992.6938746839,,81.22103587149948,11.427835534326121,,,1756.0182916549593,128.0,1707.6475601760794,82.18731853516906
VG8715,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,687.5036231884058,12.933296172426607,255.0,1.3584169453734671,1.3477331846897065,,,2040.0,2040.0,262769.43532515795,20711.558658491267,,5413.243218134522,,81.86120401337793,9.132478632478632,,,1904.6128762541805,128.0,1767.0,79.77945001858045
VAG4709,M002,KAJANG,SCANIA K250 MRT,19.934495279593317,724.2965867828613,13.284822076978939,24.76383442265795,1.548874364560639,1.5475671750181554,1.0,,1087.2447349310094,1086.6986201888162,255017.9439477124,13762.938445896878,,114098.43297022513,,82.09978213507625,12.073928830791576,,,1855.2040522875818,22.338867102396517,614.0966448801744,81.7121278140886
VH2490,M002,KAJANG,SCANIA K250 MRT,20.3010989010989,768.9734970911442,13.732126696832578,25.354621848739495,1.5940530058177118,1.5910795087265674,1.0,,1110.3917259211378,1110.3906916612798,266560.515926309,15559.888842921784,,124944.767291532,,79.88299935358759,11.976212023270847,,,1810.3812281835812,25.48244343891403,471.87221719457017,82.6667097608274
VH4328,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,932.48369015181,16.25216037368626,255.0,1.8553522771506423,1.8489684702218763,1.0,,2040.0,2040.0,331670.75430284155,17928.861697158427,,131382.80416504477,,82.46492798754379,13.153055663682366,,,1668.9406461658234,128.0,1681.0267808485792,82.97765667574932
VH2514,M002,KAJANG,SCANIA K250 MRT,17.607160019221528,660.0385631907736,12.297693416626622,21.959154252763096,1.2990148966842865,1.2991350312349832,1.0,,1111.360884190293,1111.3762614127822,274964.2599315233,16134.300504565113,,132230.1104036521,,81.28423834694858,10.097308986064393,,,1724.6932123978856,32.990425276309466,809.4672513214801,77.61893320518982
VG6477,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,662.0320021158424,11.386405712774398,255.0,1.3045931411443181,1.2993035352199593,1.0,,2040.0,2040.0,248533.08876223222,33283.89703782069,,103808.00912457022,,80.83037997002556,8.068412236621706,,,2046.7956184430925,128.0,1702.6752181962445,88.04637221193688
VH4107,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,709.3226754355279,15.845868607010425,255.0,1.6962149303855034,1.6933463933393968,1.0,,2040.0,2040.0,304200.0347197929,32120.66252011474,,123075.53973973273,,77.22955292800671,11.746099489260477,,,1770.0648499265374,128.0,1721.0096550759113,79.69831385993143
VAJ8974,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,713.7967297762478,17.209638554216866,255.0,1.7034423407917383,1.6969018932874353,1.0,,2040.0,2040.0,313919.47002065403,16151.406196213426,,124276.88012048193,,77.11893287435456,12.586746987951807,,,1914.6510154905336,128.0,1767.0,82.1039586919105
VG8673,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,682.6197475635086,16.757149704425625,255.0,1.8689886563348779,1.8570857964531076,1.0,,2040.0,2040.0,296260.76759706024,18388.160648665922,,8047.009666080844,,76.58603610800448,13.551605687809554,,,1743.7512621824574,128.0,1766.2107365393833,81.38153059594184
VH3697,M002,KAJANG,SCANIA K250 MRT,18.673526798933967,874.598904352976,12.478531240746225,23.239561741190407,1.3032277169084987,1.297009179745336,1.0,,1114.474385549304,1114.4767545158425,243645.62781018656,13789.336496890732,,115949.74548415754,,80.62274207876814,9.783091501332544,,,1595.0534350014807,32.005315368670416,642.1351939591352,79.06396209653539
VH1562,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,718.292029125588,11.35240672723758,255.0,1.1978992138162134,1.1934527645315118,1.0,,2040.0,2040.0,341208.7005052197,74752.69367830906,,134346.7980732053,,71.32478412166516,8.136293336770203,,,1784.893627166699,128.0,1706.1942260600592,87.57662069854362
VAJ6259,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,759.8449727908785,16.95283752267427,255.0,1.8291008033169214,1.8230111427831044,1.0,,2040.0,2040.0,272462.3493184763,13968.405493651204,,107541.89177895828,,78.02332210417207,13.180228038351904,,,1823.093975123089,128.0,1717.291915003887,79.19162995594714
VAE7593,M002,KAJANG,SCANIA K250 MRT,17.59309192200557,862.7762674094707,13.230194986072423,21.58974930362117,1.3399442896935934,1.3331476323119777,1.0,,1124.1920891364903,1124.1903064066853,264914.16418941505,14818.787944289694,,121704.59632311978,,81.91064066852368,10.899721448467966,,,1442.3486462395542,31.938183844011142,830.6526685236769,86.68802228412257
VH4084,M002,KAJANG,SCANIA K250 MRT,19.281631437927956,696.1314379279547,13.03006847275975,23.93271807085442,1.4279547484370347,1.4258707948794285,1.0,,1124.488240547782,1124.4799047335516,258898.1530276868,15077.611402203038,,120179.86290562668,,82.20839535576064,10.94566835367669,,,1833.8087377195593,24.28965465912474,574.2080976481095,85.87645132479905
VAK950,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,720.0737780866342,12.30947417187862,255.0,1.3321751216122306,1.3277739170720408,1.0,,2040.0,2040.0,266988.64016446605,39697.17977762335,,110600.7985636511,,73.83632572686204,8.93826731526523,,,1675.1772874681492,128.0,1663.7766967801715,85.31225388000927
VG8580,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,722.2503290917069,13.18509580225245,255.0,1.5332016966505777,1.5313734093900833,1.0,,2040.0,2040.0,303250.20140558726,32569.981717127393,,124029.7755594559,,80.16586222027205,10.035249378382332,,,1943.9984788649992,128.0,1738.4993418165861,83.70279362293404
VK2767,M002,KAJANG,SCANIA K250 MRT,20.793558655556595,928.1661829416721,14.775957307368223,25.895702649564647,1.5242018537590114,1.521112255406797,1.0,,1109.6578972006366,1109.6601441812563,295981.42463720625,17643.025905814062,,146464.9250538339,,82.12901413725307,12.08735137159442,,,1676.1038011422152,24.651783540866962,700.4652841494242,80.8022657054583
VX3625,M002,KAJANG,SCANIA K250 MRT,20.98292220113852,757.4478178368122,14.693864642631246,25.83649588867805,1.5449082858950032,1.5423782416192284,1.0,,1048.4098671726756,1048.4250474383302,257816.93366223908,14302.292694497153,,117620.15923466161,,79.36337760910816,12.39563567362429,,,1698.1160025300442,19.25945604048071,754.9844718532574,98.61132194813409
VH2499,M002,KAJANG,SCANIA K250 MRT,21.744426213685937,1216.2409999034842,13.908696071807741,27.255380754753403,1.4958980793359715,1.4933886690473892,1.0,,1053.4952224688736,1053.55853682077,253920.35361644631,15264.754203262235,,122827.68926744522,,80.168420036676,11.462986198243414,,,1299.6057812952417,24.895145256249396,874.9797702924428,66.93417623781488
VAH9067,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,783.9227765380937,17.4072362129423,255.0,1.8390181702263309,1.8349537774944213,1.0,,2040.0,2040.0,274592.3300781001,47810.28163850813,,101859.57029008606,,72.6624163213261,13.713101689512273,,,1693.8306981192222,128.0,1641.2695250239083,79.40883009244502
VAC9627,M001,SUNGAI BULOH,VOLVO B7R MRT,130.0,714.7238413051539,14.913236929922135,255.0,1.7517982944011865,1.7452725250278087,1.0,,2040.0,2040.0,326871.4600252132,33450.904048943274,,128302.83744901743,,72.22795698924732,11.514349276974416,,,1795.339599555061,128.0,1764.2802373007046,84.3086392287727
VAF7167,M002,KAJANG,SCANIA K250 MRT,20.286684671413372,761.2774367787871,12.968737212537851,25.20983713888207,1.3506015222194943,1.3538751125296669,1.0,,1047.9908339471315,1054.1883951223504,222595.80228496602,12907.389720926427,,106719.35027416318,,87.60684180374827,10.58539978721663,,,1696.2909567067682,28.454202471560688,711.7193141828301,85.78607087323022
VAJ1482,M002,KAJANG,SCANIA K250 MRT,21.779852197588486,1182.7333722287049,12.848891481913652,27.463243873978996,1.4673278879813303,1.4696616102683782,1.0,,1067.3963438350836,1054.9840528977052,262065.2448230261,14938.909276546092,,126211.20420070011,,79.67230649552704,10.242707117852975,,,1542.7237456242708,19.32150914041229,641.8119797744068,66.57487359004278
VAJ3412,M002,KAJANG,SCANIA K250 MRT,19.966587992329252,698.3116978905443,14.67546835816492,24.348797757781384,1.468431922112406,1.4644490337807936,1.0,,1068.5812066676501,1067.3603776368195,272269.21197448,15577.294718985102,,127944.27190588582,,82.15326744357574,11.448664994836996,,,1812.193435609972,39.28527068889216,674.3017406697153,74.81759846585042
